7,1,2,2,1,5,7,5,2,2,7,5,7,2,1,2,5,1,2,2,3,1,6,5,2,2,1,1,2,2,3,2,3,1,1,2,2,5,2,2,1,2,1,6,2,5,2,2,7,1,1,1,6,2,2,1,1,2,1,1,1,6,1,3,2,7,1,2,5,2,7,1,1,2,1,1,1,1,1,1,7,2,2,2,1,1,2,3,3,2,3,2,1,6,1,2,2,2,2,7,2,2,7,2,2,2,1
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.37,0.0,0.0,0.0,0.0,0.14,0.0,0.16,0.0,0.19,0.0,0.1,0.0,0.24,0.22,0.12,0.09,0.0,0.22,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.28,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.14,0.21,0.28,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.15,0.16,0.16,0.25,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.32,0.18,0.24,0.09,0.0,0.15,0.0,0.0,0.0,0.0,0.0
0.64,0.0,0.0,0.0,0.11,0.0,0.53,0.0,0.0,0.0,1.64,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.69,0.0,0.0,1.59,0.09,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,1.71,0.0,0.0,0.0,0.0
8.76,9.0,7.96,11.64,8.78,12.5,8.83,11.41,7.99,8.42,8.44,6.96,5.79,7.96,9.0,8.27,10.09,7.78,7.36,8.21,9.14,8.17,7.59,11.53,8.04,8.21,9.4,8.83,7.9,8.39,8.58,8.08,8.33,8.09,8.56,8.38,8.05,10.17,8.79,8.55,8.59,8.6,8.4,11.22,10.79,5.87,8.44,14.96,8.93,9.61,8.39,8.64,9.57,10.99,7.97,9.03,8.43,8.03,9.74,8.43,8.22,10.88,8.91,8.53,13.44,9.18,8.69,8.03,11.27,8.28,9.76,8.3,8.76,9.57,7.83,8.43,8.7,8.67,9.69,8.24,8.4,8.41,8.03,9.13,9.82,10.06,8.23,9.65,8.65,7.99,8.6,9.23,8.52,9.26,8.53,8.12,8.32,10.56,8.81,9.04,7.97,8.21,8.28,8.11,7.83,8.11,8.68
0.0,0.55,0.64,0.08,0.51,0.33,0.05,0.47,0.62,0.58,0.0,6.21,1.46,0.69,0.03,0.44,0.6,0.39,0.16,0.45,0.23,0.58,0.0,0.38,0.61,0.57,0.09,0.57,0.72,0.07,0.52,0.67,0.56,0.67,0.61,0.56,0.68,0.97,0.57,0.58,0.62,0.56,0.57,0.0,0.08,1.68,0.55,0.0,2.7,0.18,0.58,0.59,0.0,0.0,0.69,0.55,0.59,0.66,0.17,0.5,0.57,0.0,0.59,0.57,0.19,0.08,0.61,0.64,0.13,0.51,0.76,0.56,0.14,0.53,0.48,0.6,0.59,0.12,0.0,0.57,0.0,0.57,0.38,0.64,0.23,0.09,0.68,0.11,0.52,0.65,0.11,0.7,0.54,0.0,0.65,0.52,0.54,0.39,0.58,0.04,0.69,0.54,0.0,0.61,0.67,0.68,0.64
73.28,71.95,72.45,70.57,71.81,72.25,73.05,72.86,72.52,72.4,73.42,70.48,71.25,73.12,72.02,73.06,72.69,72.99,71.87,72.72,71.36,73.09,74.55,73.75,72.83,72.55,71.96,72.72,73.11,73.26,73.01,72.65,72.67,73.2,72.97,73.07,72.87,73.88,73.27,72.51,73.02,72.75,72.99,73.48,71.15,69.89,72.33,73.08,75.18,72.01,73.24,73.2,72.37,74.45,72.66,72.84,72.64,72.39,71.76,72.85,72.61,72.74,72.08,72.89,71.24,72.61,73.08,72.96,73.39,72.38,70.26,72.08,72.64,72.18,72.73,72.95,72.79,71.72,71.35,73.24,73.06,72.83,73.25,72.34,72.2,71.75,73.01,71.79,72.64,73.14,72.77,72.87,72.75,72.38,73.0,72.78,71.96,71.76,72.97,73.46,72.86,71.81,73.11,72.96,73.1,72.54,72.96
2.38,1.35,1.47,0.66,1.32,1.4,2.51,1.56,1.71,1.32,2.02,3.04,2.22,1.51,0.29,1.45,1.86,1.54,1.74,1.49,0.91,1.14,1.54,1.65,1.54,1.26,1.12,1.18,1.54,1.58,1.26,1.52,1.34,1.56,1.23,1.08,1.55,1.83,1.44,1.56,1.35,1.26,1.36,0.56,1.17,3.5,1.3,0.75,1.19,0.9,1.23,1.2,1.56,0.56,2.12,1.19,1.41,1.54,0.72,1.15,1.29,2.09,1.23,1.35,1.36,2.88,1.3,1.62,1.51,1.33,2.06,1.37,1.11,1.67,1.36,1.29,1.29,1.32,0.78,1.05,1.99,1.07,1.47,1.06,0.9,0.51,1.44,0.58,1.28,1.64,1.11,1.63,1.49,1.62,1.21,1.25,1.27,1.63,1.23,2.79,1.9,1.54,1.99,1.57,1.52,1.61,1.35
0.0,3.48,3.57,3.15,3.53,0.0,0.0,1.88,3.48,3.76,0.0,0.0,3.26,3.58,3.75,3.44,1.85,3.55,3.67,3.58,3.78,3.6,1.74,0.0,3.58,3.83,3.59,3.37,3.56,3.41,3.4,3.49,3.53,3.46,3.48,3.8,3.52,0.0,2.85,3.66,3.57,3.61,3.6,0.0,2.9,2.68,3.9,0.0,0.0,3.74,3.54,3.42,2.39,0.0,3.52,2.87,3.48,3.61,3.84,3.5,3.69,0.0,3.35,3.52,0.0,0.0,3.56,3.54,0.33,3.89,2.2,3.58,3.62,2.09,3.6,3.48,3.62,3.58,3.81,3.61,0.0,3.63,3.49,3.62,3.58,3.72,3.51,3.76,3.39,3.56,3.66,2.72,3.55,2.24,3.54,3.85,3.87,1.35,3.18,0.0,3.52,3.93,0.0,3.62,3.59,3.54,3.48
14.85,13.49,13.56,13.8,13.89,13.38,15.01,11.56,13.48,13.25,14.36,13.02,14.32,13.02,14.77,12.9,12.73,13.53,14.86,13.36,14.19,13.3,14.4,12.64,13.0,13.46,13.69,13.19,13.02,13.12,13.04,13.4,13.33,12.72,12.85,13.0,13.09,12.86,12.75,12.93,12.81,12.94,13.0,14.56,13.83,14.01,13.19,11.02,11.95,13.48,12.81,12.71,14.0,13.72,12.86,13.43,13.21,13.44,13.73,13.38,13.21,14.15,13.58,12.16,13.7,14.14,12.65,12.93,12.97,13.41,14.86,14.04,13.6,13.55,13.89,12.87,12.78,13.81,14.17,13.15,14.92,13.2,13.24,13.02,13.12,13.72,12.85,14.03,13.41,12.87,13.65,12.35,12.82,14.46,12.98,13.33,13.64,13.98,12.99,14.2,12.82,13.71,14.8,12.89,13.09,13.33,12.74
1.51602,1.519,1.51652,1.52725,1.51909,1.52043,1.51609,1.52171,1.51707,1.51844,1.52065,1.51316,1.51838,1.5159,1.51966,1.51605,1.51915,1.51618,1.51574,1.51625,1.52211,1.51743,1.51299,1.51969,1.51627,1.51892,1.52099,1.51869,1.51596,1.51588,1.51646,1.51645,1.5161,1.51571,1.51775,1.51806,1.51594,1.51666,1.51655,1.51872,1.51751,1.51667,1.51755,1.51969,1.5241,1.51514,1.51789,1.52739,1.51653,1.52172,1.51761,1.51755,1.51905,1.51818,1.51592,1.51808,1.51793,1.51645,1.5221,1.5172,1.51766,1.51916,1.51898,1.51643,1.52614,1.51623,1.51768,1.51663,1.52119,1.51846,1.52247,1.51918,1.51905,1.52068,1.51761,1.51824,1.51736,1.51977,1.52227,1.51756,1.51685,1.51851,1.51569,1.51841,1.52152,1.5232,1.51662,1.52121,1.51655,1.51674,1.51769,1.5173,1.5175,1.51829,1.51764,1.51811,1.51848,1.5202,1.5166,1.51623,1.5159,1.518,1.51658,1.51711,1.51593,1.5169,1.51797
